No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
118,66K00526,1,1,2,0,0,8.7869,12.2893,12.985,21.252
119,05E00148,2,0,0,1,1,26.7244,20.7533,24.34,15.752
120,42M00092,2,0,0,1,1,26.7244,20.7533,9.903,16.03
121,42M00967,2,0,0,1,1,26.7244,20.7533,20.388,19.048
122,CAR24562,2,0,0,1,1,26.7244,20.7533,4.95,15.492
123,CAR32010,2,0,0,1,1,26.7244,20.7533,36.923,22.388
124,CAR34661,2,0,0,1,1,26.7244,20.7533,23.908,17.555
125,42M01115,1,0,0,1,1,25.0178,19.8732,36.023,16.887
126,42M01145,1,0,0,1,1,25.0178,19.8732,30.138,16.72
127,CAR26190,1,0,0,1,1,25.0178,19.8732,15.153,16.494
128,CAR28884,1,0,0,1,1,25.0178,19.8732,30.493,18.089
129,CAR34662,1,0,0,1,1,25.0178,19.8732,30.235,19.893
130,CAR38554,1,0,0,1,1,25.0178,19.8732,20.52,16.269
131,05E01868,1,0,0,1,1,25.0178,19.8732,25.098,21.436
132,42M00114,1,0,0,1,1,25.0178,19.8732,25.74,22.401
133,42M01038,1,0,0,1,1,25.0178,19.8732,17.528,29.873
134,CAR28922,1,0,0,1,1,25.0178,19.8732,32.705,20.949
135,42M01125,0,2,0,1,1,20.8322,17.9779,25.23,18.704
136,42M01151,0,2,0,1,1,20.8322,17.9779,28.645,31.154
137,42M01286,0,2,0,1,1,20.8322,17.9779,22.725,17.384
138,66K00136,0,2,0,1,1,20.8322,17.9779,14.293,16.156
139,66K00592,0,2,0,1,1,20.8322,17.9779,30.105,25.686
140,CAR28926,0,2,0,1,1,20.8322,17.9779,22.84,24.733
141,CAR29562,0,2,0,1,1,20.8322,17.9779,13.573,11.501
143,CAR33034,0,2,0,1,1,20.8322,17.9779,13.673,16.961
144,CAR51105,0,2,0,1,1,20.8322,17.9779,27.248,17.151
145,42M00085,0,1,0,1,1,22.0717,18.4855,21.848,16.841
146,42M00097,0,1,0,1,1,22.0717,18.4855,18.34,17.571
147,42M00128,0,1,0,1,1,22.0717,18.4855,11.403,13.821
148,42M00771,0,1,0,1,1,22.0717,18.4855,30.088,20.271
149,42M01155,0,1,0,1,1,22.0717,18.4855,16.025,17.062
150,CAR01632,0,1,0,1,1,22.0717,18.4855,7.775,15.681
151,CAR08408,0,1,0,1,1,22.0717,18.4855,18.053,15.254
152,CAR23299,0,1,0,1,1,22.0717,18.4855,14.053,13.925
153,CAR25169,0,1,0,1,1,22.0717,18.4855,15.17,10.411
154,CAR28871,0,1,0,1,1,22.0717,18.4855,28.16,22.773
155,10J00101,1,1,0,1,1,23.7783,19.3656,42.52,26.803
156,42M00035,1,1,0,1,1,23.7783,19.3656,21.7,30.898
157,42M00994,1,1,0,1,1,23.7783,19.3656,28.203,15.957
158,66K00532,1,1,0,1,1,23.7783,19.3656,19.628,18.178
159,CAR30551,1,1,0,1,1,23.7783,19.3656,18.818,13.745
160,CAR34217,1,1,0,1,1,23.7783,19.3656,31.285,13.465
161,CAR34233,1,1,0,1,1,23.7783,19.3656,22.47,20.49
162,CAR37490,1,1,0,1,1,23.7783,19.3656,20.998,14.793
163,CAR40111,1,1,0,1,1,23.7783,19.3656,18.788,14.177
164,CAR46028,1,1,0,1,1,23.7783,19.3656,24.498,16.305
166,10J00296,0,0,0,1,1,23.3112,18.9931,15.803,10.906
167,42M00112,0,0,0,1,1,23.3112,18.9931,20.383,16.324
168,CAR23292,1,1,0,2,0,26.4877,20.2201,12.715,9.144
169,CAR24594,1,1,0,2,0,26.4877,20.2201,23.893,20.867
170,CAR25166,1,1,0,2,0,26.4877,20.2201,19.715,12.62
171,CAR25530,1,1,0,2,0,26.4877,20.2201,32.65,22.124
172,CAR25543,1,1,0,2,0,26.4877,20.2201,44.64,26.417
173,CAR25544,1,1,0,2,0,26.4877,20.2201,28.53,20.823
174,CAR25550,1,1,0,2,0,26.4877,20.2201,28.845,17.127
175,CAR25562,1,1,0,2,0,26.4877,20.2201,42.95,31.707
176,CAR26175,1,1,0,2,0,26.4877,20.2201,29.208,17.91
177,CAR26192,1,1,0,2,0,26.4877,20.2201,6.95,13.166
178,CAR19674,1,1,0,1,0,21.4174,18.2363,42.27,42.212
179,CAR26967,1,1,0,1,0,21.4174,18.2363,32.625,26.317
180,CAR28876,1,1,0,1,0,21.4174,18.2363,19.18,16.043
181,CAR28920,1,1,0,1,0,21.4174,18.2363,37.135,33.493
182,CAR30593,1,1,0,1,0,21.4174,18.2363,25.055,24.712
183,CAR32025,1,1,0,1,0,21.4174,18.2363,19.783,21.884
184,CAR33044,1,1,0,1,0,21.4174,18.2363,38.453,19.053
185,CAR33050,1,1,0,1,0,21.4174,18.2363,41.51,32.262
186,CAR33061,1,1,0,1,0,21.4174,18.2363,19.578,13.231
187,CAR33946,1,1,0,1,0,21.4174,18.2363,20.248,22.085
188,05E00289,1,1,0,0,1,18.708,17.3818,7.95,8.07
189,05E01645,1,1,0,0,1,18.708,17.3818,21.405,14.566
190,10J00021,1,1,0,0,1,18.708,17.3818,11.13,16.155
191,42M00135,1,1,0,0,1,18.708,17.3818,5.108,9.444
192,42M00457,1,1,0,0,1,18.708,17.3818,17.763,16.601
193,66K00482,1,1,0,0,1,18.708,17.3818,20.138,22.22
194,66K00566,1,1,0,0,1,18.708,17.3818,14.285,15.812
195,CAR34678,1,1,0,0,1,18.708,17.3818,11.545,9.937
196,05E01058,0,0,0,2,0,26.0206,19.8476,28.243,21.594
198,42M00130,0,0,0,2,0,26.0206,19.8476,30.978,13.137
199,42M00390,0,0,0,2,0,26.0206,19.8476,23.383,11.334
200,42M00573,0,0,0,0,2,20.6018,18.1386,21.25,16.998
201,CAR08419,1,1,1,1,0,17.6373,16.2547,25.04,9.27
202,CAR23310,1,1,1,1,0,17.6373,16.2547,13.108,17.968
203,CAR24588,1,1,1,1,0,17.6373,16.2547,21.225,19.526
204,CAR25524,1,1,1,1,0,17.6373,16.2547,21.215,17.616
205,CAR25526,1,1,1,1,0,17.6373,16.2547,25.05,26.885
206,CAR26599,1,1,1,1,0,17.6373,16.2547,22.513,24.372
207,CAR26765,1,1,1,1,0,17.6373,16.2547,14.865,21.895
208,CAR30504,1,1,1,1,0,17.6373,16.2547,26.99,24.566
