Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
Pure NK,1:1,No cytokine,278,6.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.2273713275578436e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,12.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.7973879881680374e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,18.0,1.2563935788623802e-08,2.9060174500816736e-08,1.9523026593400358e-07,1.5982565543759956e-08,1.9400729645788635e-08,3.908409155729651e-07,6.384987954655487e-08
Pure NK,1:1,No cytokine,278,24.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.732321163086874e-08,6.66068645433638e-09,3.3465168716397136e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,30.0,1.2563935788623802e-08,8.27723807221053e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,2.7409253234883386e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,36.0,2.2764692844768848e-08,1.5144598533514523e-08,1.3798112320464654e-07,1.5982565543759956e-08,1.0759830145789741e-08,3.5390416266452553e-07,8.602607905663499e-08
Pure NK,1:1,No cytokine,278,42.0,7.96635398859515e-08,1.3686121438296032e-08,1.9345551372778404e-07,4.139852133940528e-08,6.992750983057256e-09,3.045876964990007e-07,1.325619745502552e-07
Pure NK,1:1,No cytokine,278,48.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.05055223517867e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,60.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,3.29537136922163e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,278,72.0,5.5496843871798745e-08,1.3153122211677269e-08,1.4936236236176205e-07,2.5883042843162286e-08,2.3233211833133446e-08,2.7785757322182386e-07,3.0800562973453844e-08
Pure NK,1:1,No cytokine,279,1.0,2.4874039025227643e-08,7.465354056645608e-09,1.0740677237281119e-07,2.987075102545735e-08,6.66068645433638e-09,1.9016324386417526e-08,6.045889240532581e-08
Pure NK,1:1,No cytokine,279,3.0,1.3472750747202437e-08,1.4747844603137545e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,9.548081772487635e-08,3.684431542634806e-08
