1A,2A,5A,5B,6B,1C,2C,G,E,Target-
26.2653065,23.0290461,27.391305,20.1058197,20.192308,26.562501,23.4375,28.5714283,10.4986877,5.887521744
45.0424919,36.5284967,45.8955231,21.3333321,28.143322,46.7213116,37.5,41.8831158,27.9761906,13.75464725
41.181819,35.294117,56.1290302,15.286624,19.9999992,41.095891,38.1215458,73.2283459,22.4852066,9.523809433
46.2432432,40.5405407,37.5,20.0909081,27.692308,41.860465,45.5696211,54.545454,13.9534883,7.881773472
30.999999,36.0759487,53.3742313,16.7664661,26.6666656,40.4255333,35.6643362,58.4070797,19.6078434,1.855287552
43.5154638,35.5555544,69.4736824,18.4281845,22.5,47.0769224,41.3793097,80.8949432,21.4532871,3.375248194
36.7924519,21.8749995,49.9999981,17.0212765,29.3333336,42.8571424,50.4950523,54.166666,14.583333,3.058104038
17.2853858,9.42028999,28.710125,5.30503988,8.03827744,14.4429159,16.8345323,50.6717834,6.04395628,0.870985329
