1A,2A,5A,5B,6B,1C,2C,G
49.3636885,45.564587,63.0688822,8.87142649,37.4396721,49.1891891,50.1621626,56.855848
47.6573115,29.2511763,59.1278272,6.600486,33.084091,46.3314034,52.0677035,59.7523346
48.8155618,41.3998342,59.4331028,7.14344368,35.7785221,49.2423051,47.8547763,56.7259799
47.6025807,42.9906075,62.5235505,6.33592125,22.4147093,49.883716,50.6091551,62.7050084
50.2544124,43.9877501,63.2765571,16.7797969,42.7326425,51.1306391,46.4503438,59.9579271
40.3341467,33.4010525,58.6620982,17.4766651,27.0585809,46.1857029,47.2359979,53.7733136
54.5468074,47.3205643,63.2606186,19.8350652,41.850692,54.5222148,48.4833913,67.0292212
61.1801883,53.4666306,68.8117243,14.2180918,39.1807208,59.8878508,66.3192649,72.0477041
